occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
17,17_2171,Petroleum Engineers,38.91209235,68.82670146,29.9146091,Bachelor Degree,3,2,0,1,0,1,0,0,11130,28210,32780,85540,127970,147030,83370,114080,128230
17,17_3011,Architectural and Civil Drafters,57.00295255,66.05871727,9.055764718,Bachelor Degree,3,2,0,1,0,1,0,0,101190,89670,96810,39060,48740,54290,37330,46430,51640
17,17_3012,Electrical and Electronics Drafters,49.38091624,72.97536344,23.5944472,Some College,3,2,0,1,0,1,0,0,35470,27960,26750,44020,55960,63390,41090,53020,59970
17,17_3013,Mechanical Drafters,51.12073043,66.80722747,15.68649704,Some College,3,2,0,1,0,1,0,0,68280,64440,63630,43080,51200,57480,40730,48810,54480
17,17_3022,Civil Engineering Technicians,39.30932849,63.67410975,24.36478125,Secondary or below,3,2,0,1,0,1,0,0,88380,77050,72150,38910,47940,52120,37720,46290,49980
17,17_3023,Electrical and Electronics Engineering Technicians,59.09458696,72.17558224,13.08099528,Some College,3,2,0,1,0,1,0,0,194960,147750,134870,44210,56690,62950,42950,56040,62190
17,17_3024,Electro-Mechanical Technicians,33.53859903,59.87798389,26.33938486,Some College,2,2,0,1,0,0,1,0,30360,15970,13710,39930,51160,57860,38120,49550,55610
17,17_3026,Industrial Engineering Technicians,50.83195926,61.63705307,10.80509381,Some College,3,2,0,1,0,1,0,0,59700,61630,63220,45310,50540,56920,41910,48210,53330
17,17_3027,Mechanical Engineering Technicians,33.22180774,72.7581035,39.53629576,Some College,3,2,0,1,0,1,0,0,53630,44170,45510,42850,51450,57180,41280,50110,54480
17,17_3031,Surveying and Mapping Technicians,50.94074094,77.01377695,26.07303601,Some College,3,2,0,1,0,1,0,0,55670,53870,53920,31760,40370,45490,29230,37900,42450
19,19_1011,Animal Scientists,32.17789785,64.60161543,32.42371757,Advanced Degree,3,1,0,0,1,1,0,0,2210.70186,1552.825435,2470,52800,68170,72890,48670,58250,60330
19,19_1012,Food Scientists and Technologists,22.05368135,57.63976473,35.58608338,Bachelor Degree,2,1,0,0,1,0,1,0,12709.29814,8927.174565,14200,52800,65380,71270,48670,60180,63950
19,19_1021,Biochemists and Biophysicists,28.95490496,67.86887196,38.913967,Advanced Degree,3,1,0,0,1,1,0,0,15190,22800,29200,65620,86580,94340,60390,79390,82180
19,19_1023,Zoologists and Wildlife Biologists,22.88300628,64.37421062,41.49120434,Advanced Degree,3,1,0,0,1,1,0,0,12970,17440,17720,49250,61660,64890,47740,57430,60520
19,19_1031,Conservation Scientists,19.27266958,54.52709467,35.25442508,Bachelor Degree,2,1,0,0,1,0,1,0,13600,18880,20470,50820,61200,65130,50340,59310,61810
19,19_1032,Foresters,52.14608523,62.29211105,10.14602583,Bachelor Degree,3,2,0,1,0,1,0,0,9760,9470,8420,48060,55790,60300,46730,54540,58700
19,19_1041,Epidemiologists,44.36968366,68.49172199,24.12203833,Advanced Degree,3,2,0,1,0,1,0,0,3760,4710,5690,58190,68280,77720,53840,63010,70820
19,19_1042,"Medical Scientists, Except Epidemiologists",44.36968366,62.31683174,17.94714808,Advanced Degree,3,2,0,1,0,1,0,0,53840,93560,108870,66200,86710,95000,56980,76700,80530
19,19_2011,Astronomers,51.34837042,85.04048422,33.69211381,Advanced Degree,3,2,0,1,0,1,0,0,900,1840,1830,80510,93340,110380,81690,87260,104740
19,19_2021,Atmospheric and Space Scientists,54.17335364,74.73368397,20.56033033,Bachelor Degree,3,2,0,1,0,1,0,0,7210,8640,9800,61000,88010,94840,60200,87780,92460
19,19_2031,Chemists,48.97589901,65.91320242,16.93730341,Bachelor Degree,3,2,0,1,0,1,0,0,82050,80180,86660,57670,73240,80820,52890,68320,73740
